395,302
497,273
186,211
701,184
405,133
263,167
220,302
642,111
70,256
92,167
168,154
598,211
674,239
235,122
168,273
129,144
39,144
317,122
357,122
129,273
587,273
39,82
530,229
530,184
642,184
204,184
473,319
517,154
546,154
743,288
420,342
204,256
334,319
129,94
59,229
701,144
317,94
395,239
70,60
334,184
168,111
263,256
140,184
497,239
103,211
446,273
598,302
103,288
642,229
357,229
357,256
483,133
610,122
186,122
420,111
658,273
373,94
461,197
59,94
433,154
568,133
546,211
546,319
151,211
717,256
395,184
250,94
317,229
587,154
285,302
317,167
629,256
674,288
275,82
685,122
743,167
151,122
285,94
446,319
405,273
220,111
